[0.13501016 0.12577773 0.12031404]
[0.20577961 0.14728955 0.09800458]
         3511931 function calls (3446126 primitive calls) in 8.431 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.117    0.012 __init__.py:704(__getattr__)
        1    0.000    0.000    0.117    0.117 _mgc.py:1(<module>)
        2    0.000    0.000    0.117    0.058 backend_agg.py:375(draw)
     1980    0.002    0.000    0.116    0.000 inspect.py:3050(from_callable)
        2    0.000    0.000    0.116    0.058 artist.py:92(draw_wrapper)
        1    0.000    0.000    0.115    0.115 rcsetup.py:1(<module>)
2547/1980    0.017    0.000    0.114    0.000 inspect.py:2470(_signature_from_callable)
    10673    0.055    0.000    0.114    0.000 _docscrape.py:168(_is_at_section)
1891/1889    0.001    0.000    0.113    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.112    0.028 pyplot.py:525(_warn_if_gui_out_of_main_thread)
       10    0.000    0.000    0.112    0.011 pyplot.py:358(_get_backend_mod)
      6/1    0.000    0.000    0.112    0.112 pyplot.py:372(switch_backend)
    10040    0.008    0.000    0.112    0.000 _docscrape.py:77(read_to_next_empty_line)
       22    0.000    0.000    0.111    0.005 __init__.py:1714(configure)
       22    0.000    0.000    0.111    0.005 __init__.py:1701(_configure)
      110    0.003    0.000    0.109    0.001 _distn_infrastructure.py:1874(__init__)
      403    0.001    0.000    0.109    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.108    0.108 _morestats.py:1(<module>)
     1581    0.004    0.000    0.108    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        5    0.000    0.000    0.107    0.021 registry.py:302(load_backend_module)
        4    0.000    0.000    0.106    0.026 backend_bases.py:2910(_wait_cursor_for_draw_cm)
        4    0.000    0.000    0.106    0.026 _backend_tk.py:484(set_cursor)
     1031    0.001    0.000    0.103    0.000 __init__.py:226(compile)
        5    0.000    0.000    0.101    0.020 generic.py:4010(take)
        5    0.000    0.000    0.100    0.020 managers.py:1044(take)
     1595    0.002    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
        1    0.000    0.000    0.099    0.099 backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.098    0.098 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.098    0.098 iterative.py:1(<module>)
     1595    0.005    0.000    0.098    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        5    0.001    0.000    0.097    0.019 managers.py:792(reindex_indexer)
        3    0.000    0.000    0.095    0.032 _internal.py:56(clone_module)
       16    0.000    0.000    0.094    0.006 frame.py:4337(__getitem__)
       93    0.001    0.000    0.094    0.001 blocks.py:995(take_nd)
      227    0.001    0.000    0.094    0.000 artist.py:1413(__init__)
       97    0.001    0.000    0.094    0.001 take.py:57(take_nd)
       97    0.090    0.001    0.093    0.001 take.py:118(_take_nd_ndarray)
      227    0.029    0.000    0.093    0.000 artist.py:1433(get_aliases)
       66    0.002    0.000    0.092    0.001 _axis_nan_policy.py:425(axis_nan_policy_decorator)
        4    0.000    0.000    0.091    0.023 base.py:1319(wrapper)
        2    0.000    0.000    0.089    0.044 frame.py:4406(_getitem_bool_array)
     5410    0.007    0.000    0.088    0.000 _docscrape.py:573(dedent_lines)
        1    0.000    0.000    0.087    0.087 _dict_learning.py:1(<module>)
        1    0.000    0.000    0.087    0.087 patches.py:1(<module>)
     1968    0.020    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    11652    0.084    0.000    0.084    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        2    0.000    0.000    0.084    0.042 __config__.py:1(<module>)
24195/634    0.037    0.000    0.083    0.000 copy.py:118(deepcopy)
      4/2    0.000    0.000    0.083    0.041 __init__.py:1521(inner)
        2    0.000    0.000    0.083    0.041 axes3d.py:2888(scatter)
        1    0.000    0.000    0.083    0.083 filedialog.py:1(<module>)
        1    0.000    0.000    0.081    0.081 simpledialog.py:1(<module>)
 1276/634    0.013    0.000    0.080    0.000 copy.py:217(_deepcopy_dict)
     1942    0.026    0.000    0.078    0.000 inspect.py:2366(_signature_from_function)
      367    0.002    0.000    0.077    0.000 _parser.py:969(parse)
        1    0.000    0.000    0.076    0.076 _distn_infrastructure.py:1(<module>)
       37    0.000    0.000    0.076    0.002 __init__.py:129(__getattr__)
 1140/367    0.005    0.000    0.074    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.073    0.073 _linprog.py:1(<module>)
        1    0.000    0.000    0.073    0.073 memory.py:1(<module>)
 1429/398    0.027    0.000    0.072    0.000 _parser.py:512(_parse)
        2    0.000    0.000    0.072    0.036 axes3d.py:60(__init__)
        2    0.000    0.000    0.070    0.035 backend_tkagg.py:13(blit)
        2    0.000    0.000    0.070    0.035 _backend_tk.py:98(blit)
        1    0.000    0.000    0.070    0.070 frame.py:1(<module>)
        2    0.000    0.000    0.070    0.035 _backend_tk.py:84(_blit)
        2    0.070    0.035    0.070    0.035 {built-in method matplotlib.backends._tkagg.blit}
        2    0.000    0.000    0.068    0.034 _base.py:615(__init__)
       70    0.001    0.000    0.067    0.001 _util.py:1148(decorator)
        2    0.000    0.000    0.067    0.034 _pca.py:443(fit_transform)
        1    0.000    0.000    0.066    0.066 axes3d.py:1(<module>)
571481/568461    0.065    0.000    0.066    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.066    0.066 _fontconfig_pattern.py:1(<module>)
      350    0.018    0.000    0.065    0.000 {built-in method builtins.eval}
      445    0.013    0.000    0.065    0.000 doccer.py:29(docformat)
        1    0.000    0.000    0.065    0.065 base_events.py:1(<module>)
      128    0.008    0.000    0.064    0.000 __init__.py:355(namedtuple)
      202    0.000    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1287(create_module)
        1    0.000    0.000    0.064    0.064 widgets.py:1(<module>)
        2    0.000    0.000    0.063    0.032 base.py:851(fit_transform)
