[0.13501016 0.12577773 0.12031404]
[0.20577961 0.14728955 0.09800458]
         3511931 function calls (3446126 primitive calls) in 8.431 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.001    0.000 expressions.py:68(_evaluate_standard)
       16    0.000    0.000    0.001    0.000 colorizer.py:603(_get_colorizer)
       12    0.000    0.000    0.001    0.000 ticker.py:2095(_validate_steps)
       74    0.000    0.000    0.001    0.000 backend_bases.py:1805(inaxes)
        1    0.000    0.000    0.001    0.001 _add_docstring.py:1(<module>)
      177    0.000    0.000    0.001    0.000 dataclasses.py:701(_is_type)
      515    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
        2    0.000    0.000    0.001    0.000 hashing.py:1(<module>)
       17    0.000    0.000    0.001    0.000 typing.py:1548(__getitem__)
      156    0.000    0.000    0.001    0.000 _config.py:233(config_context)
        3    0.000    0.000    0.001    0.000 base.py:5464(append)
       49    0.000    0.000    0.001    0.000 _methods.py:55(_any)
      281    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.001    0.000 base.py:209(_get_param_names)
       31    0.000    0.000    0.001    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
        1    0.000    0.000    0.001    0.001 ImageFile.py:1(<module>)
     1885    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
       42    0.000    0.000    0.001    0.000 ticker.py:1714(nonsingular)
        1    0.000    0.000    0.001    0.001 arraylike.py:40(__eq__)
        1    0.000    0.000    0.001    0.001 asserters.py:1(<module>)
    154/1    0.000    0.000    0.001    0.001 _mathtext_data.py:1722(_normalize_stix_fontcodes)
        1    0.000    0.000    0.001    0.001 _bayes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 cast.py:1(<module>)
      145    0.001    0.000    0.001    0.000 enum.py:1008(_find_data_type_)
     3048    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     1746    0.000    0.000    0.001    0.000 typing.py:935(__eq__)
        1    0.000    0.000    0.001    0.001 stata.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _add_docstring.py:27(_parse_docstrings)
        1    0.000    0.000    0.001    0.001 common.py:697(get_handle)
        2    0.000    0.000    0.001    0.000 __init__.py:522(_get_config_or_cache_dir)
      628    0.001    0.000    0.001    0.000 _docscrape.py:465(_str_summary)
        1    0.000    0.000    0.001    0.001 _supervised.py:1(<module>)
        3    0.000    0.000    0.001    0.000 base.py:5508(_concat)
      116    0.000    0.000    0.001    0.000 _docscrape.py:658(splitlines_x)
        1    0.000    0.000    0.001    0.001 locks.py:1(<module>)
      280    0.001    0.000    0.001    0.000 transforms.py:1770(__init__)
        1    0.000    0.000    0.001    0.001 _function_transformer.py:1(<module>)
      218    0.001    0.000    0.001    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
      370    0.000    0.000    0.001    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.001    0.001 objects.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _relative_risk.py:1(<module>)
       20    0.000    0.000    0.001    0.000 version.py:65(parse)
        1    0.000    0.000    0.001    0.001 _metadata_requests.py:1(<module>)
      225    0.001    0.000    0.001    0.000 _parser.py:274(getuntil)
       72    0.001    0.000    0.001    0.000 backend_bases.py:1514(_mouse_handler)
        1    0.000    0.000    0.001    0.001 _slsqp_py.py:1(<module>)
       14    0.000    0.000    0.001    0.000 Image.py:849(tobytes)
       34    0.000    0.000    0.001    0.000 patches.py:395(set_facecolor)
        1    0.000    0.000    0.001    0.001 _meta.py:1(<module>)
        8    0.000    0.000    0.001    0.000 colorizer.py:53(__init__)
       16    0.000    0.000    0.001    0.000 _arraypad_impl.py:546(pad)
      628    0.001    0.000    0.001    0.000 _docscrape.py:460(_str_signature)
       14    0.000    0.000    0.001    0.000 _backend_tk.py:951(add_tooltip)
        1    0.000    0.000    0.001    0.001 sparsefuncs.py:1(<module>)
       48    0.000    0.000    0.001    0.000 axis.py:701(_get_shared_axes)
        1    0.000    0.000    0.001    0.001 _discretization.py:1(<module>)
       45    0.000    0.000    0.001    0.000 __init__.py:416(by_key)
        2    0.000    0.000    0.001    0.000 series.py:369(__init__)
        1    0.000    0.000    0.001    0.001 _mio4.py:1(<module>)
     10/4    0.000    0.000    0.001    0.000 core.py:4848(streamline)
       14    0.000    0.000    0.001    0.000 Image.py:3374(fromarray)
        1    0.000    0.000    0.001    0.001 path.py:1(<module>)
        1    0.000    0.000    0.001    0.001 generic.py:228(NDFrame)
   193/93    0.000    0.000    0.001    0.000 core.py:2185(__str__)
       20    0.000    0.000    0.001    0.000 version.py:292(__init__)
      180    0.000    0.000    0.001    0.000 inspect.py:1816(getattr_static)
        2    0.000    0.000    0.001    0.000 colors.py:1218(_init)
        1    0.000    0.000    0.001    0.001 _svdp.py:1(<module>)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.001    0.001 _linprog_rs.py:1(<module>)
        3    0.000    0.000    0.001    0.000 missing.py:1(<module>)
       27    0.000    0.000    0.001    0.000 core.py:6421(__init__)
       62    0.000    0.000    0.001    0.000 cbook.py:133(_weak_or_strong_ref)
       90    0.000    0.000    0.001    0.000 PngImagePlugin.py:167(read)
        1    0.000    0.000    0.001    0.001 confusion_matrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _differentiable_functions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 accessor.py:150(StringMethods)
       86    0.000    0.000    0.001    0.000 transforms.py:2342(__init__)
        1    0.000    0.000    0.001    0.001 _store_backends.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _enums.py:1(<module>)
      431    0.001    0.000    0.001    0.000 _util.py:561(<genexpr>)
        2    0.000    0.000    0.001    0.000 _strptime.py:49(__init__)
      185    0.000    0.000    0.001    0.000 dataclasses.py:864(_set_new_attribute)
       38    0.000    0.000    0.001    0.000 typing.py:1841(__init__)
        1    0.001    0.001    0.001    0.001 _type_aliases.py:1(<module>)
        2    0.000    0.000    0.001    0.000 figure.py:123(__init__)
       64    0.000    0.000    0.001    0.000 common.py:43(wrapper)
        1    0.000    0.000    0.001    0.001 ipaddress.py:2314(_IPv6Constants)
       72    0.001    0.000    0.001    0.000 _backend_tk.py:389(_mpl_buttons)
        1    0.000    0.000    0.001    0.001 _show_versions.py:1(<module>)
  227/167    0.000    0.000    0.001    0.000 typing.py:1573(__hash__)
        1    0.000    0.000    0.001    0.001 _miobase.py:1(<module>)
       41    0.000    0.000    0.001    0.000 dataclasses.py:250(_recursive_repr)
       42    0.000    0.000    0.001    0.000 Image.py:1357(copy)
        7    0.000    0.000    0.001    0.000 dataclasses.py:882(_hash_add)
       18    0.000    0.000    0.001    0.000 core.py:1596(make_mask)
       42    0.000    0.000    0.001    0.000 transforms.py:2318(blended_transform_factory)
       51    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.001    0.001 _kernel_pca.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _direct_py.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
       92    0.000    0.000    0.001    0.000 core.py:2673(__init__)
      628    0.000    0.000    0.001    0.000 _docscrape.py:470(_str_extended_summary)
        6    0.000    0.000    0.001    0.000 transforms.py:796(from_bounds)
        4    0.000    0.000    0.001    0.000 __init__.py:2032(wm_attributes)
        1    0.000    0.000    0.001    0.001 _rbfinterp_np.py:1(<module>)
       58    0.000    0.000    0.001    0.000 pathlib.py:583(name)
     5517    0.001    0.000    0.001    0.000 inspect.py:3058(parameters)
       12    0.000    0.000    0.001    0.000 frame.py:4954(_box_col_values)
      367    0.001    0.000    0.001    0.000 {built-in method _sre.compile}
        3    0.000    0.000    0.001    0.000 api.py:63(get_objs_combined_axis)
       34    0.000    0.000    0.001    0.000 fromnumeric.py:38(_wrapit)
     3190    0.001    0.000    0.001    0.000 typing.py:1246(<genexpr>)
        4    0.000    0.000    0.001    0.000 colorizer.py:215(autoscale_None)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1569(_IPv4Constants)
        2    0.000    0.000    0.001    0.000 backend_bases.py:1235(__init__)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2238(__init__)
        1    0.000    0.000    0.001    0.001 synchronize.py:1(<module>)
       53    0.000    0.000    0.001    0.000 common.py:1821(pandas_dtype)
       90    0.000    0.000    0.001    0.000 inspect.py:1456(formatannotation)
       36    0.000    0.000    0.001    0.000 __init__.py:1220(winfo_rgb)
       64    0.000    0.000    0.001    0.000 common.py:49(_unpack_zerodim_and_defer)
        7    0.000    0.000    0.001    0.000 dataclasses.py:675(_hash_fn)
     1289    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
        4    0.000    0.000    0.001    0.000 colors.py:2331(autoscale_None)
      192    0.000    0.000    0.001    0.000 transforms.py:156(invalidate)
        1    0.000    0.000    0.001    0.001 info.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ransac.py:1(<module>)
     1188    0.001    0.000    0.001    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.001    0.001 _cm_bivar.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _strptime.py:238(pattern)
        1    0.000    0.000    0.001    0.001 dtypes.py:1226(IntervalDtype)
       66    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _pca.py:1(<module>)
       35    0.000    0.000    0.001    0.000 core.py:3436(__init__)
      181    0.000    0.000    0.001    0.000 pathlib.py:569(_tail)
      134    0.000    0.000    0.001    0.000 font_manager.py:876(set_size)
       27    0.000    0.000    0.001    0.000 inspect.py:2292(p)
       31    0.000    0.000    0.001    0.000 concat.py:453(_is_uniform_join_units)
     2904    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:158(__init__)
       28    0.000    0.000    0.001    0.000 __init__.py:679(destroy)
       21    0.000    0.000    0.001    0.000 ipaddress.py:1502(__init__)
        8    0.000    0.000    0.001    0.000 core.py:7063(wrapper)
        1    0.000    0.000    0.001    0.001 docscrape.py:1(<module>)
       30    0.000    0.000    0.001    0.000 pathlib.py:199(_select_from)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        3    0.000    0.000    0.001    0.000 api.py:109(_get_combined_index)
        1    0.000    0.000    0.001    0.001 argparse.py:1(<module>)
      515    0.000    0.000    0.001    0.000 copyreg.py:98(__newobj__)
        1    0.000    0.000    0.001    0.001 request.py:935(AbstractBasicAuthHandler)
        1    0.000    0.000    0.001    0.001 __init__.py:845(copy)
       26    0.000    0.000    0.001    0.000 __init__.py:2456(pack_configure)
     1150    0.000    0.000    0.001    0.000 enum.py:70(_is_internal_class)
        1    0.000    0.000    0.001    0.001 _complex.py:1(<module>)
       26    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
       10    0.000    0.000    0.001    0.000 colorizer.py:91(norm)
      200    0.000    0.000    0.001    0.000 cm.py:94(__getitem__)
      148    0.000    0.000    0.001    0.000 tokenize.py:460(tokenize)
        1    0.000    0.000    0.001    0.001 rk.py:1(<module>)
      135    0.000    0.000    0.001    0.000 _internal.py:853(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.001    0.001 _mathtext.py:1808(Parser)
        1    0.000    0.000    0.001    0.001 _nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 error.py:1(<module>)
        8    0.000    0.000    0.001    0.000 colors.py:2563(make_norm_from_scale)
        8    0.000    0.000    0.001    0.000 nanops.py:70(__init__)
      296    0.000    0.000    0.001    0.000 generic.py:43(_instancecheck)
       40    0.000    0.000    0.001    0.000 _aliases.py:89(asarray)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        2    0.000    0.000    0.001    0.000 transforms.py:1870(inverted)
       48    0.000    0.000    0.001    0.000 _base.py:3733(_validate_converted_limits)
     1081    0.000    0.000    0.001    0.000 typing.py:1252(__eq__)
       14    0.001    0.000    0.001    0.000 _ufunc_config.py:496(inner)
       65    0.000    0.000    0.001    0.000 pathlib.py:380(with_segments)
        1    0.000    0.000    0.001    0.001 _array_api_override.py:1(<module>)
      218    0.000    0.000    0.001    0.000 _parser.py:312(_class_escape)
        1    0.000    0.000    0.001    0.001 _distribution_infrastructure.py:1515(UnivariateDistribution)
       67    0.000    0.000    0.001    0.000 enum.py:1035(_find_new_)
     2069    0.001    0.000    0.001    0.000 {built-in method sys.getrecursionlimit}
      114    0.000    0.000    0.001    0.000 lines.py:1290(set_xdata)
      186    0.000    0.000    0.001    0.000 typing.py:961(_is_unpacked_typevartuple)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _numdiff.py:1(<module>)
        8    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:3285(_moment_standardized)
        1    0.000    0.000    0.001    0.001 artist.py:1407(ArtistInspector)
        2    0.001    0.000    0.001    0.000 managers.py:2436(_stack_arrays)
       10    0.000    0.000    0.001    0.000 transforms.py:1783(transform)
     1302    0.001    0.000    0.001    0.000 __init__.py:681(_set)
       60    0.000    0.000    0.001    0.000 text.py:1108(set_fontsize)
        1    0.001    0.001    0.001    0.001 colorbar.py:196(Colorbar)
       24    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:391(draw)
        1    0.000    0.000    0.001    0.001 gzip.py:1(<module>)
     1349    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
      106    0.000    0.000    0.001    0.000 typing.py:977(_typevar_subst)
        1    0.000    0.000    0.001    0.001 _constrained_layout.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _distn_infrastructure.py:4199(get_distribution_names)
        1    0.000    0.000    0.001    0.001 hb.py:1(<module>)
       23    0.000    0.000    0.001    0.000 nanops.py:72(<genexpr>)
      128    0.000    0.000    0.001    0.000 __init__.py:102(_cnfmerge)
      821    0.000    0.000    0.001    0.000 enum.py:202(__get__)
        8    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:3291(_moment_standardized_dispatch)
       26    0.000    0.000    0.001    0.000 generic.py:6191(__getattr__)
       35    0.000    0.000    0.001    0.000 typing.py:1721(_get_protocol_attrs)
       12    0.000    0.000    0.001    0.000 managers.py:1205(iget)
        1    0.000    0.000    0.001    0.001 array.py:251(ArrowExtensionArray)
       66    0.000    0.000    0.001    0.000 _methods.py:39(_amax)
      358    0.000    0.000    0.001    0.000 function_base.py:456(_needs_add_docstring)
        1    0.000    0.000    0.001    0.001 rolling.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:1788(_validate)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      208    0.000    0.000    0.001    0.000 _config.py:35(get_config)
        1    0.000    0.000    0.001    0.001 sql.py:1(<module>)
        9    0.000    0.000    0.001    0.000 _multivariate.py:6523(_docfill)
     2530    0.001    0.000    0.001    0.000 _docscrape.py:46(reset)
        2    0.000    0.000    0.001    0.000 sysconfig.py:667(get_path)
       19    0.000    0.000    0.001    0.000 typing.py:1515(copy_with)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
       38    0.000    0.000    0.001    0.000 transforms.py:2276(__init__)
   112/60    0.000    0.000    0.001    0.000 _base.py:964(get_xaxis_transform)
        5    0.000    0.000    0.001    0.000 <frozen posixpath>:428(realpath)
      318    0.000    0.000    0.001    0.000 _compiler.py:467(_get_charset_prefix)
       12    0.000    0.000    0.001    0.000 axis.py:389(_get_text1_transform)
        1    0.000    0.000    0.001    0.001 resample.py:1(<module>)
       58    0.000    0.000    0.001    0.000 cbook.py:1705(_safe_first_finite)
       40    0.000    0.000    0.001    0.000 core.py:2735(__init__)
        1    0.000    0.000    0.001    0.001 mstats.py:1(<module>)
       66    0.000    0.000    0.001    0.000 text.py:1040(set_linespacing)
        2    0.000    0.000    0.001    0.000 sysconfig.py:655(get_paths)
       53    0.000    0.000    0.001    0.000 accessor.py:131(_forbid_nonstring_types)
        1    0.000    0.000    0.001    0.001 _perceptron.py:1(<module>)
       10    0.000    0.000    0.001    0.000 transforms.py:1849(transform_affine)
       56    0.000    0.000    0.001    0.000 cbook.py:2368(_unpack_to_numpy)
       72    0.000    0.000    0.001    0.000 axis.py:711(_get_axis_name)
        2    0.000    0.000    0.001    0.000 sysconfig.py:290(_expand_vars)
      507    0.000    0.000    0.001    0.000 __init__.py:1517(debug)
        2    0.000    0.000    0.001    0.000 figure.py:3108(set_size_inches)
       89    0.000    0.000    0.001    0.000 cbook.py:1347(_to_unmasked_float_array)
      295    0.001    0.000    0.001    0.000 _distn_infrastructure.py:846(<genexpr>)
      734    0.000    0.000    0.001    0.000 _compiler.py:570(isstring)
        6    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:842(validation)
        1    0.000    0.000    0.001    0.001 helpers.py:176(one_of)
        1    0.000    0.000    0.001    0.001 entities.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ranking.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _fastica.py:1(<module>)
       38    0.000    0.000    0.001    0.000 {method '__init_subclass__' of 'object' objects}
        3    0.000    0.000    0.001    0.000 api.py:185(union_indexes)
        1    0.000    0.000    0.001    0.001 floating.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      204    0.000    0.000    0.001    0.000 colors.py:998(copy)
        8    0.000    0.000    0.001    0.000 colorizer.py:650(__init__)
        2    0.000    0.000    0.001    0.000 __init__.py:2357(_loadtk)
      4/2    0.000    0.000    0.001    0.000 transforms.py:2432(get_affine)
        6    0.000    0.000    0.001    0.000 arrayprint.py:846(_formatArray)
       74    0.000    0.000    0.001    0.000 inspect.py:2918(apply_defaults)
       14    0.000    0.000    0.001    0.000 core.py:6666(__init__)
        4    0.000    0.000    0.001    0.000 base.py:3656(get_indexer)
        1    0.000    0.000    0.001    0.001 _multiufuncs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _classification.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _set_output.py:1(<module>)
       28    0.000    0.000    0.001    0.000 Image.py:2328(resize)
       20    0.000    0.000    0.001    0.000 _distribution_infrastructure.py:3220(_moment_central_dispatch)
      306    0.000    0.000    0.001    0.000 results.py:182(__new__)
       74    0.001    0.000    0.001    0.000 _backend_tk.py:411(_mpl_modifiers)
        2    0.000    0.000    0.001    0.000 _base.py:873(set_figure)
        4    0.000    0.000    0.001    0.000 __init__.py:2264(wm_protocol)
       42    0.000    0.000    0.001    0.000 lines.py:1158(set_linestyle)
      121    0.000    0.000    0.001    0.000 numerictypes.py:475(issubdtype)
        1    0.000    0.000    0.001    0.001 __init__.py:599(matplotlib_fname)
        1    0.000    0.000    0.001    0.001 rrule.py:1(<module>)
        5    0.000    0.000    0.000    0.000 base.py:1228(take)
       64    0.000    0.000    0.000    0.000 _internal.py:14(get_xp)
      131    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:3026(sample)
        1    0.000    0.000    0.000    0.000 unicode.py:1(<module>)
       66    0.000    0.000    0.000    0.000 text.py:1227(set_rotation)
        1    0.000    0.000    0.000    0.000 _sag.py:1(<module>)
     1694    0.000    0.000    0.000    0.000 unicode.py:63(<genexpr>)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numpy_pickle_compat.py:1(<module>)
  306/282    0.000    0.000    0.000    0.000 results.py:205(__init__)
     28/6    0.000    0.000    0.000    0.000 arrayprint.py:855(recurser)
      126    0.000    0.000    0.000    0.000 lines.py:1217(_set_markercolor)
       12    0.000    0.000    0.000    0.000 _base.py:992(get_xaxis_text1_transform)
      227    0.000    0.000    0.000    0.000 _param_validation.py:359(__init__)
       38    0.000    0.000    0.000    0.000 _base.py:1230(_set_artist_props)
        1    0.000    0.000    0.000    0.000 trf_linear.py:1(<module>)
       53    0.000    0.000    0.000    0.000 numeric.py:170(ones)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
     1674    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       76    0.000    0.000    0.000    0.000 transforms.py:2041(scale)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
       61    0.000    0.000    0.000    0.000 _internal.py:15(get_xp)
        2    0.000    0.000    0.000    0.000 _base.py:1579(_set_title_offset_trans)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
       18    0.000    0.000    0.000    0.000 base.py:5384(__getitem__)
        1    0.000    0.000    0.000    0.000 estimator.py:1(<module>)
        4    0.000    0.000    0.000    0.000 core.py:1687(__mul__)
       22    0.000    0.000    0.000    0.000 _backend_tk.py:793(_get_color)
        8    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
      813    0.000    0.000    0.000    0.000 __init__.py:1003(<lambda>)
        1    0.000    0.000    0.000    0.000 dtypes.py:717(DatetimeTZDtype)
       61    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
       32    0.000    0.000    0.000    0.000 concat.py:251(_get_combined_plan)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        3    0.000    0.000    0.000    0.000 base.py:680(_with_infer)
        2    0.000    0.000    0.000    0.000 indexing.py:2647(check_bool_indexer)
       37    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cbook.py:1063(_broadcast_with_masks)
       78    0.000    0.000    0.000    0.000 figure.py:2802(axes)
       28    0.000    0.000    0.000    0.000 transforms.py:2576(__init__)
      690    0.000    0.000    0.000    0.000 _mathtext_data.py:1724(<genexpr>)
        1    0.000    0.000    0.000    0.000 _meta.py:8(PackageMetadata)
       14    0.000    0.000    0.000    0.000 Image.py:3290(frombuffer)
        4    0.000    0.000    0.000    0.000 deprecation.py:41(__call__)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 secrets.py:1(<module>)
      120    0.000    0.000    0.000    0.000 Image.py:969(load)
       60    0.000    0.000    0.000    0.000 transforms.py:1887(__init__)
        1    0.000    0.000    0.000    0.000 expressions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
        8    0.000    0.000    0.000    0.000 colorizer.py:528(__init__)
       24    0.000    0.000    0.000    0.000 generic.py:6131(__finalize__)
     3930    0.000    0.000    0.000    0.000 inspect.py:2769(default)
        4    0.000    0.000    0.000    0.000 __init__.py:875(after_idle)
        6    0.000    0.000    0.000    0.000 __init__.py:847(after)
       38    0.000    0.000    0.000    0.000 transforms.py:1325(__init_subclass__)
       42    0.000    0.000    0.000    0.000 lines.py:1073(set_color)
        8    0.000    0.000    0.000    0.000 _methods.py:43(_amin)
        2    0.000    0.000    0.000    0.000 _backend_tk.py:612(destroy)
       92    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.000    0.000 html.py:1(<module>)
      180    0.000    0.000    0.000    0.000 inspect.py:1795(_check_class)
        1    0.000    0.000    0.000    0.000 TiffTags.py:444(_populate)
        3    0.000    0.000    0.000    0.000 __init__.py:620(gen_candidates)
       12    0.000    0.000    0.000    0.000 _distribution_infrastructure.py:733(validate)
        1    0.000    0.000    0.000    0.000 _mixins.py:1(<module>)
       58    0.000    0.000    0.000    0.000 core.py:3547(parseImpl)
       98    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
      163    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 base.py:849(_engine)
        6    0.000    0.000    0.000    0.000 cast.py:127(maybe_convert_platform)
        1    0.000    0.000    0.000    0.000 managers.py:2426(_tuples_to_blocks_no_consolidate)
        1    0.000    0.000    0.000    0.000 patches.py:3167(ArrowStyle)
       60    0.000    0.000    0.000    0.000 axis.py:293(_set_artist_props)
        1    0.000    0.000    0.000    0.000 from_dataframe.py:1(<module>)
       18    0.000    0.000    0.000    0.000 _backend_tk.py:797(_is_dark)
       22    0.000    0.000    0.000    0.000 core.py:4648(_generateDefaultName)
        3    0.000    0.000    0.000    0.000 expr.py:288(disallowed)
        1    0.000    0.000    0.000    0.000 compressor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 interval.py:183(IntervalArray)
        3    0.000    0.000    0.000    0.000 deprecation.py:255(rename_parameter)
       32    0.000    0.000    0.000    0.000 transforms.py:786(unit)
       12    0.000    0.000    0.000    0.000 backend_bases.py:2229(mpl_connect)
       45    0.000    0.000    0.000    0.000 accessor.py:122(_create_delegator_method)
      138    0.000    0.000    0.000    0.000 artist.py:1055(set_visible)
       43    0.000    0.000    0.000    0.000 _set_output.py:311(_wrap_method_output)
        4    0.000    0.000    0.000    0.000 _polynomial_impl.py:1248(__init__)
      107    0.000    0.000    0.000    0.000 getlimits.py:178(__new__)
      8/5    0.000    0.000    0.000    0.000 <frozen posixpath>:437(_joinrealpath)
      204    0.000    0.000    0.000    0.000 colors.py:815(__copy__)
        3    0.000    0.000    0.000    0.000 base.py:2457(is_unique)
        1    0.000    0.000    0.000    0.000 connection.py:1(<module>)
       62    0.000    0.000    0.000    0.000 weakref.py:46(__new__)
       21    0.000    0.000    0.000    0.000 artist.py:23(_prevent_rasterization)
       27    0.000    0.000    0.000    0.000 artist.py:44(allow_rasterization)
        1    0.000    0.000    0.000    0.000 _zeros_py.py:1(<module>)
       12    0.000    0.000    0.000    0.000 axis.py:392(_get_text2_transform)
      143    0.000    0.000    0.000    0.000 tokenize.py:569(_generate_tokens_from_c_tokenizer)
       17    0.000    0.000    0.000    0.000 generic.py:37(create_pandas_abc_type)
       28    0.000    0.000    0.000    0.000 transforms.py:1088(__init__)
        1    0.000    0.000    0.000    0.000 _qmvnt.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:1(<module>)
        6    0.000    0.000    0.000    0.000 axis3d.py:237(set_pane_color)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backports.py:1(<module>)
       29    0.000    0.000    0.000    0.000 pathlib.py:1067(_make_child_relpath)
      548    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
        1    0.000    0.000    0.000    0.000 _factor_analysis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _operator.gt}
        1    0.000    0.000    0.000    0.000 figure.py:2424(Figure)
        1    0.000    0.000    0.000    0.000 _isotonic.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _spherical_voronoi.py:1(<module>)
       13    0.000    0.000    0.000    0.000 expr.py:196(_filter_nodes)
        2    0.000    0.000    0.000    0.000 doccer.py:263(filldoc)
        1    0.000    0.000    0.000    0.000 multi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:1(<module>)
    52/48    0.000    0.000    0.000    0.000 spines.py:346(get_spine_transform)
        3    0.000    0.000    0.000    0.000 concat.py:780(_clean_keys_and_objs)
       25    0.000    0.000    0.000    0.000 functools.py:651(cache)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2769(NavigationToolbar2)
  244/192    0.000    0.000    0.000    0.000 transforms.py:165(_invalidate_internal)
        1    0.000    0.000    0.000    0.000 f90mod_rules.py:1(<module>)
